,id,popularity,title,vote_average,vote_count
293,673,97.068,Harry Potter and the Prisoner of Azkaban,8,19470
294,458220,17.935,Palmer,8,975
295,568160,42.96,Weathering with You,8,1818
296,9277,18.343,The Sting,8,2230
297,15,20.703,Citizen Kane,8,4851
298,285700,7.191,The Fool,8,224
299,524,22.878,Casino,8,5027
300,307,12.48,"Rome, Open City",8,747
301,378108,14.884,In This Corner of the World,8,487
302,110416,14.055,Song of the Sea,8,1235
303,12761,10.151,Autumn Sonata,8,477
304,11104,23.404,Chungking Express,8,1419
305,3175,18.991,Barry Lyndon,8,2440
306,359724,38.726,Ford v Ferrari,8,6608
307,205596,42.45,The Imitation Game,8,15575
308,652722,28.607,In the Arms of an Assassin,8,337
309,315465,20.801,The Boy and the Beast,8,1321
310,595,16.159,To Kill a Mockingbird,8,2274
311,554596,35.739,No Manches Frida 2,8,770
312,140420,10.889,Paperman,8,1580
313,31439,10.048,To Live,8,242
314,28178,33.944,Hachi: A Dog's Tale,8,6085
315,634649,258.77,Spider-Man: No Way Home,8,17310
316,11778,18.453,The Deer Hunter,8,3258
317,961,10.694,The General,8,1031
318,424694,42.811,Bohemian Rhapsody,8,15645
319,51482,22.01,Death Note Relight 1: Visions of a God,8,238
320,58007,7.866,Poverty and Nobility,8,257
321,23282,6.28,One Week,8,218
322,488623,23.368,Forgotten,8,835
323,776503,31.276,CODA,8,1807
324,13223,23.636,Gran Torino,8,9721
325,426618,15.911,Where Hands Touch,8,477
326,25376,16.01,The Secret in Their Eyes,8,2209
327,3090,15.024,The Treasure of the Sierra Madre,8,1008
328,7508,15.823,Taare Zameen Par,8,973
329,482321,42.666,Ron's Gone Wrong,8,1575
330,15244,8.218,A Man Escaped,8,432
331,560066,13.758,Scooby-Doo! and the Curse of the 13th Ghost,8,221
332,28422,9.407,Love Exposure,8,364
333,18438,10.842,Castaway on the Moon,8,584
334,45752,17.553,Scooby-Doo! Camp Scare,8,253
335,213,21.177,North by Northwest,8,3587
336,12104,11.42,Pink Floyd: The Wall,8,1302
337,530915,28.792,1917,8,10989
338,962232,24.927,Beyond the Universe,8,239
339,237791,7.907,The Way He Looks,8,869
340,20453,30.747,3 Idiots,8,2068
341,43949,23.096,Flipped,8,2575
342,550205,41.073,Wish Dragon,8,1097
343,11658,19.898,Tae Guk Gi: The Brotherhood of War,8,578
344,2517,21.27,Nobody Knows,8,405
345,715931,50.347,Emancipation,8,864
346,1059,12.162,The Hidden Fortress,8,509
347,770,25.888,Gone with the Wind,8,3567
348,14696,11.07,Ugetsu,8,469
349,947,23.007,Lawrence of Arabia,8,2563
350,29264,7.274,The Exterminating Angel,8,565
351,38360,14.042,The Cranes Are Flying,8,282
352,11712,14.029,Sanjuro,8,498
353,10238,15.292,Cries and Whispers,8,590
354,627,18.283,Trainspotting,8,8772
355,20803,11.894,Ivan Vasilyevich Changes His Profession,8,288
356,1578,21.757,Raging Bull,8,3726
357,24,33.063,Kill Bill: Vol. 1,8,15759
358,242828,23.073,When Marnie Was There,8,1553
359,1092,15.131,The Third Man,8,1577
360,862,82.669,Toy Story,8,16662
361,76,21.994,Before Sunrise,8,3549
362,94047,12.699,My Way,8,316
363,38286,6.693,Three Men and a Leg,8,1930
364,654,15.999,On the Waterfront,8,1336
365,640,116.619,Catch Me If You Can,8,13867
366,761898,37.583,Sword Art Online the Movie -Progressive- Aria of a Starless Night,8,200
367,522402,48.242,Finch,8,2889
